stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,midCloudiness,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,year,month,day,hour,lowCloudiness.1
52787.0,102.8681,37.1986,3045.0,11.0,10.0,357.0,9.0,1024.2,18.0,7.0,0.0,0.0,9999.0,9999.0,1800.0,-8.8,28.8,70.0,-3.2,,9999.0,1.0,2.0,-3.1,46.0,2020,3,30,20,9999.0
52787.0,102.8681,37.1986,3045.0,11.0,9999.0,339.0,4.5,1025.0,12.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-10.2,30.0,70.0,-4.4,,9999.0,1.0,2.0,-3.0,55.0,2020,3,30,23,9999.0
52787.0,102.8681,37.1986,3045.0,11.0,10.0,348.0,5.8,1025.0,13.0,7.0,0.0,1.9,9999.0,9999.0,1800.0,-7.8,30.0,70.0,-6.8,,9999.0,1.0,2.0,-7.1,5.0,2020,3,31,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,336.0,5.5,1026.2,5.0,9999.0,9999.0,0.9,9999.0,9999.0,9999.0,-8.7,30.0,0.0,-7.8,,9999.0,1.0,2.0,-3.4,-3.0,2020,3,31,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,9999.0,0.1,1024.7,-16.0,0.0,0.0,0.9,9999.0,9999.0,2500.0,-9.7,30.0,0.0,-8.6,,9999.0,1.0,2.0,-2.8,-4.0,2020,4,1,2,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,164.0,5.1,1026.2,-13.0,9999.0,9999.0,0.5,9999.0,9999.0,9999.0,-8.3,30.0,0.0,-7.4,,9999.0,1.0,2.0,-3.1,9.0,2020,4,1,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,283.0,2.5,1027.9,6.0,0.0,0.0,0.1,9999.0,9999.0,2500.0,-9.2,30.0,0.0,-8.3,,9999.0,1.0,2.0,-4.0,11.0,2020,4,1,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,151.0,6.2,1027.7,5.0,0.0,0.0,0.7,9999.0,9999.0,2500.0,-7.1,30.0,0.0,-6.3,,9999.0,1.0,2.0,-5.9,12.0,2020,4,1,11,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,344.0,3.8,1026.0,-12.0,0.0,0.0,0.7,9999.0,9999.0,9999.0,-6.2,8.9,70.0,-5.5,,9999.0,1.0,2.0,-4.7,5.0,2020,4,1,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,331.0,5.9,1025.3,-3.0,4.0,0.0,0.5,9999.0,9999.0,2500.0,-7.1,0.6,72.0,-6.4,,9999.0,1.0,2.0,0.4,-11.0,2020,4,1,17,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,313.0,4.6,1028.2,13.0,0.0,0.0,1.9,9999.0,9999.0,2500.0,-7.5,30.0,70.0,-6.8,,9999.0,1.0,2.0,0.3,-15.0,2020,4,1,20,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,147.0,4.3,1028.9,16.0,9999.0,9999.0,1.7,9999.0,9999.0,2500.0,-7.2,30.0,70.0,-6.5,,9999.0,1.0,2.0,1.3,-4.0,2020,4,1,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,161.0,2.7,1027.6,-4.0,0.0,0.0,0.2,9999.0,9999.0,2500.0,-6.9,29.4,70.0,-6.4,,9999.0,1.0,2.0,2.2,8.0,2020,4,2,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,153.0,1.9,1028.8,-5.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-9.0,30.0,22.0,-8.1,,9999.0,1.0,2.0,-0.7,16.0,2020,4,2,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,293.0,1.5,1030.3,11.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-8.4,30.0,0.0,-7.6,,9999.0,1.0,2.0,0.7,21.0,2020,4,2,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,164.0,3.9,1031.0,12.0,5.0,0.0,9999.0,9999.0,9999.0,2500.0,-7.1,30.0,22.0,-6.4,,9999.0,1.0,2.0,-0.1,28.0,2020,4,2,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,138.0,4.2,1028.6,-5.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-7.5,28.8,70.0,-4.2,,9999.0,1.0,2.0,1.3,35.0,2020,4,2,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,145.0,3.9,1028.7,-6.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.5,26.7,70.0,-3.9,,9999.0,1.0,2.0,2.5,32.0,2020,4,2,17,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,156.0,4.4,1031.0,10.0,0.0,0.0,0.6,9999.0,9999.0,2500.0,-6.6,12.3,70.0,-5.6,,9999.0,1.0,2.0,1.2,29.0,2020,4,2,20,9999.0
52787.0,102.87,37.2,3045.1,11.0,9999.0,144.0,6.7,1031.9,10.0,9999.0,9999.0,0.7,9999.0,9999.0,9999.0,-7.1,26.5,70.0,-6.0,,9999.0,1.0,2.0,0.5,23.0,2020,4,2,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,140.0,8.8,1029.8,-7.0,0.0,0.0,0.3,9999.0,9999.0,2500.0,-8.1,30.0,70.0,-6.6,,9999.0,1.0,2.0,-0.2,20.0,2020,4,3,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,124.0,9.1,1028.9,-3.0,9999.0,9999.0,0.2,9999.0,9999.0,2500.0,-10.2,30.0,70.0,-6.3,,9999.0,1.0,2.0,1.8,22.0,2020,4,3,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,137.0,7.4,1031.4,9.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-9.9,30.0,70.0,-6.2,,9999.0,1.0,2.0,1.4,20.0,2020,4,3,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,129.0,7.0,1031.0,7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-7.7,27.9,70.0,-3.9,,9999.0,1.0,2.0,2.5,15.0,2020,4,3,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,124.0,6.4,1029.7,-5.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.2,28.3,70.0,-2.5,,9999.0,1.0,2.0,1.7,15.0,2020,4,3,14,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,125.0,3.4,1029.0,-2.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-6.0,30.0,22.0,-2.2,,9999.0,1.0,2.0,1.7,19.0,2020,4,3,17,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,157.0,1.1,1031.7,11.0,0.0,0.0,0.7,9999.0,9999.0,2500.0,-4.3,5.5,70.0,-3.8,,9999.0,1.0,2.0,1.8,20.0,2020,4,3,20,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,139.0,7.2,1032.3,12.0,9999.0,9999.0,1.5,9999.0,9999.0,2500.0,-5.5,19.8,70.0,-4.5,,9999.0,1.0,2.0,1.5,22.0,2020,4,3,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,138.0,8.0,1031.0,-5.0,6.0,0.0,1.0,9999.0,9999.0,2500.0,-6.0,8.8,70.0,-5.0,,9999.0,1.0,2.0,1.6,24.0,2020,4,4,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,141.0,4.9,1029.7,-6.0,9999.0,9999.0,0.2,9999.0,9999.0,2500.0,-7.2,30.0,70.0,-4.8,,9999.0,1.0,2.0,1.5,21.0,2020,4,4,5,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,131.0,5.8,1031.8,8.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-8.1,30.0,0.0,-4.5,,9999.0,1.0,2.0,1.7,20.0,2020,4,4,8,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,121.0,7.9,1030.3,-1.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-7.1,30.0,0.0,-1.8,,9999.0,1.0,2.0,2.1,12.0,2020,4,4,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,151.0,9.7,1027.2,-12.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.1,30.0,22.0,0.6,,9999.0,1.0,2.0,3.1,5.0,2020,4,4,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,92.0,1.6,1026.2,-5.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.1,30.0,0.0,0.8,,9999.0,1.0,2.0,3.0,2.0,2020,4,4,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,2.0,5.2,1028.1,8.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-7.0,30.0,22.0,-0.6,,9999.0,1.0,2.0,3.2,-1.0,2020,4,4,20,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,4.0,6.5,1028.1,8.0,9999.0,9999.0,0.1,9999.0,9999.0,2500.0,-6.4,30.0,70.0,-1.6,,9999.0,1.0,2.0,2.9,-5.0,2020,4,4,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,114.0,1.2,1026.3,-6.0,0.0,0.0,0.1,9999.0,9999.0,2500.0,-6.6,30.0,0.0,-2.6,,9999.0,1.0,2.0,2.4,-6.0,2020,4,5,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,253.0,2.0,1024.9,-14.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-6.7,30.0,0.0,-3.7,,9999.0,1.0,2.0,1.1,-14.0,2020,4,5,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,170.0,2.9,1026.4,4.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.5,30.0,0.0,-3.7,,9999.0,1.0,2.0,0.8,-18.0,2020,4,5,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,177.0,2.7,1023.3,0.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-5.8,30.0,0.0,1.8,,9999.0,1.0,2.0,3.6,-17.0,2020,4,5,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,329.0,4.2,1021.8,-14.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-4.5,30.0,70.0,2.0,,9999.0,1.0,2.0,1.4,-19.0,2020,4,5,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,358.0,6.5,1022.3,-7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-3.2,22.0,70.0,0.9,,9999.0,1.0,2.0,0.1,-21.0,2020,4,5,17,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,58.0,0.9,1025.9,16.0,0.0,0.0,0.1,9999.0,9999.0,2500.0,-2.9,30.0,70.0,-0.9,,9999.0,1.0,2.0,-0.3,-13.0,2020,4,5,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,319.0,1.3,1023.5,4.0,9999.0,9999.0,0.1,9999.0,9999.0,9999.0,-4.9,30.0,0.0,-2.1,,9999.0,1.0,2.0,-0.5,-17.0,2020,4,5,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,244.0,2.3,1023.2,-4.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.6,30.0,0.0,-2.6,,9999.0,1.0,2.0,0.0,-15.0,2020,4,6,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,4.0,0.9,1022.0,-12.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-7.6,30.0,0.0,-2.3,,9999.0,1.0,2.0,1.4,-13.0,2020,4,6,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,166.0,1.4,1022.9,4.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-6.4,30.0,0.0,-1.1,,9999.0,1.0,2.0,2.6,-13.0,2020,4,6,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,130.0,7.1,1022.3,6.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-4.6,30.0,0.0,2.4,,9999.0,1.0,2.0,0.6,-7.0,2020,4,6,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,10.0,333.0,6.0,1024.6,-8.0,0.0,0.0,3.9,9999.0,9999.0,2500.0,-2.8,30.0,70.0,-2.2,,9999.0,1.0,2.0,-4.2,-1.0,2020,4,6,14,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,22.0,5.4,1023.6,-4.0,0.0,0.0,6.0,9999.0,9999.0,9999.0,-3.6,30.0,70.0,-1.9,,9999.0,1.0,2.0,-2.8,2.0,2020,4,6,17,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,304.0,1.8,1025.5,11.0,0.0,0.0,2.3,9999.0,9999.0,2500.0,-4.2,18.5,22.0,-3.6,,9999.0,1.0,2.0,-2.7,-3.0,2020,4,6,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,318.0,2.2,1024.7,11.0,9999.0,9999.0,0.2,9999.0,9999.0,9999.0,-6.7,30.0,0.0,-3.6,,9999.0,1.0,2.0,-1.5,4.0,2020,4,6,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,288.0,1.9,1026.9,-7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-8.3,30.0,0.0,-3.6,,9999.0,1.0,2.0,-1.0,1.0,2020,4,7,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,317.0,1.3,1026.3,-5.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-9.5,30.0,0.0,-4.1,,9999.0,1.0,2.0,-1.8,8.0,2020,4,7,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,312.0,1.9,1028.8,6.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-12.2,30.0,0.0,-4.8,,9999.0,1.0,2.0,-3.7,10.0,2020,4,7,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,350.0,6.1,1026.0,7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-12.7,30.0,0.0,0.7,,9999.0,1.0,2.0,-1.7,11.0,2020,4,7,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,271.0,2.4,1022.8,-9.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-14.2,30.0,0.0,3.5,,9999.0,1.0,2.0,5.7,10.0,2020,4,7,14,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,318.0,5.7,1021.8,-9.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-14.2,30.0,0.0,3.5,,9999.0,1.0,2.0,5.4,5.0,2020,4,7,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,12.0,4.5,1024.8,7.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-16.1,30.0,0.0,1.3,,9999.0,1.0,2.0,4.9,1.0,2020,4,7,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,262.0,5.6,1023.1,6.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-12.7,30.0,0.0,-0.4,,9999.0,1.0,2.0,3.2,-4.0,2020,4,7,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,271.0,1.9,1022.2,-2.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-8.9,30.0,0.0,-2.2,,9999.0,1.0,2.0,1.4,1.0,2020,4,8,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,288.0,2.2,1020.2,-14.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-9.2,30.0,0.0,-2.3,,9999.0,1.0,2.0,1.8,-8.0,2020,4,8,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,155.0,1.6,1020.2,1.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-9.9,30.0,0.0,0.1,,9999.0,1.0,2.0,4.9,-13.0,2020,4,8,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,5.0,2.8,1018.9,5.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-15.7,30.0,0.0,4.8,,9999.0,1.0,2.0,4.1,-15.0,2020,4,8,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,358.0,7.1,1017.8,-9.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-14.4,30.0,0.0,6.3,,9999.0,1.0,2.0,2.8,-15.0,2020,4,8,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,339.0,6.9,1017.7,-4.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-12.3,30.0,0.0,5.7,,9999.0,1.0,2.0,2.2,-10.0,2020,4,8,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,355.0,4.4,1019.4,9.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-14.8,30.0,0.0,2.8,,9999.0,1.0,2.0,1.5,-8.0,2020,4,8,20,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,350.0,8.8,1018.1,9.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-17.5,30.0,0.0,2.0,,9999.0,1.0,2.0,2.4,-5.0,2020,4,8,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,11.0,2.1,1018.1,-2.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-16.4,30.0,0.0,0.0,,9999.0,1.0,2.0,2.2,-5.0,2020,4,9,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,262.0,2.6,1017.9,-9.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-14.9,30.0,0.0,-1.0,,9999.0,1.0,2.0,1.3,0.0,2020,4,9,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,50.0,2.2,1018.5,0.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-10.8,30.0,0.0,1.0,,9999.0,1.0,2.0,0.9,-1.0,2020,4,9,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,249.0,4.7,1016.3,-2.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-12.4,30.0,0.0,4.6,,9999.0,1.0,2.0,-0.2,-8.0,2020,4,9,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,350.0,4.2,1013.1,-15.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-9.1,30.0,0.0,8.3,,9999.0,1.0,2.0,2.0,-14.0,2020,4,9,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,180.0,4.2,1016.1,-1.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-8.4,30.0,0.0,4.4,,9999.0,1.0,2.0,-1.3,-11.0,2020,4,9,17,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,313.0,0.7,1017.1,7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-9.4,30.0,0.0,2.5,,9999.0,1.0,2.0,-0.3,-13.0,2020,4,9,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,5.0,5.3,1016.7,10.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-12.5,30.0,0.0,1.7,,9999.0,1.0,2.0,-0.3,-12.0,2020,4,9,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,355.0,5.1,1014.5,-3.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-12.3,30.0,0.0,0.7,,9999.0,1.0,2.0,0.7,-13.0,2020,4,10,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,356.0,12.3,1021.2,5.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-16.4,17.4,0.0,-4.5,,9999.0,1.0,2.0,-3.5,1.0,2020,4,10,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,359.0,12.5,1023.7,16.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-16.6,26.3,0.0,-2.9,,9999.0,1.0,2.0,-3.9,17.0,2020,4,10,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,360.0,9.4,1025.6,13.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-15.5,16.6,0.0,-2.1,,9999.0,1.0,2.0,-6.7,32.0,2020,4,10,11,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,353.0,10.5,1024.8,1.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-14.4,16.0,0.0,0.4,,9999.0,1.0,2.0,-7.9,48.0,2020,4,10,14,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,355.0,10.3,1029.1,0.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-14.6,29.5,0.0,-0.7,,9999.0,1.0,2.0,-5.1,49.0,2020,4,10,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,351.0,8.0,1031.4,12.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-14.5,30.0,0.0,-3.1,,9999.0,1.0,2.0,-5.6,54.0,2020,4,10,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,8.0,4.7,1033.3,8.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-14.8,30.0,0.0,-5.0,,9999.0,1.0,2.0,-6.7,52.0,2020,4,10,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,255.0,0.8,1031.9,-6.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-14.9,30.0,0.0,-6.7,,9999.0,1.0,2.0,-7.4,49.0,2020,4,11,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,334.0,3.8,1032.5,-5.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-13.2,30.0,0.0,-7.6,,9999.0,1.0,2.0,-3.1,39.0,2020,4,11,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,321.0,3.2,1034.3,7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-13.9,30.0,0.0,-6.3,,9999.0,1.0,2.0,-3.4,30.0,2020,4,11,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,301.0,4.4,1031.4,2.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-13.8,30.0,0.0,0.2,,9999.0,1.0,2.0,2.3,19.0,2020,4,11,11,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,346.0,9.3,1029.3,-7.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-16.2,29.8,0.0,3.5,,9999.0,1.0,2.0,3.1,11.0,2020,4,11,14,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,352.0,9.5,1029.2,-6.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-17.6,30.0,0.0,3.3,,9999.0,1.0,2.0,4.0,5.0,2020,4,11,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,26.0,5.0,1032.2,6.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-19.1,29.9,0.0,-1.1,,9999.0,1.0,2.0,2.0,-1.0,2020,4,11,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,153.0,8.2,1029.7,4.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-19.1,30.0,0.0,-3.1,,9999.0,1.0,2.0,1.9,-5.0,2020,4,11,23,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,147.0,3.5,1027.8,-8.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-17.8,30.0,0.0,-5.4,,9999.0,1.0,2.0,1.3,-7.0,2020,4,12,2,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,145.0,3.1,1027.0,-8.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-17.5,30.0,0.0,-5.7,,9999.0,1.0,2.0,1.9,-10.0,2020,4,12,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,157.0,2.5,1027.7,-1.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-16.6,30.0,0.0,-2.5,,9999.0,1.0,2.0,3.8,-18.0,2020,4,12,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,163.0,7.1,1025.8,1.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-16.1,28.2,0.0,2.5,,9999.0,1.0,2.0,2.3,-19.0,2020,4,12,11,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,136.0,8.0,1023.7,-10.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-17.5,27.9,0.0,5.7,,9999.0,1.0,2.0,2.2,-22.0,2020,4,12,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,147.0,3.7,1022.0,-10.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-18.4,27.1,0.0,6.4,,9999.0,1.0,2.0,3.1,-26.0,2020,4,12,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,22.0,7.7,1024.8,10.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-17.2,30.0,0.0,1.2,,9999.0,1.0,2.0,2.3,-22.0,2020,4,12,20,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,338.0,1.1,1023.4,7.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-14.6,30.0,0.0,-0.3,,9999.0,1.0,2.0,2.8,-19.0,2020,4,12,23,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,134.0,2.4,1019.7,-10.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-14.0,29.9,0.0,0.0,,9999.0,1.0,2.0,5.4,-21.0,2020,4,13,2,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,296.0,1.5,1017.4,-16.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-10.6,29.2,0.0,-0.7,,9999.0,1.0,2.0,5.0,-29.0,2020,4,13,5,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,354.0,6.2,1019.0,1.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-9.9,30.0,0.0,2.3,,9999.0,1.0,2.0,4.8,-27.0,2020,4,13,8,9999.0
52787.0,102.87,37.2,3045.1,11.0,2.0,356.0,9.2,1018.1,0.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-15.5,23.2,0.0,5.1,,9999.0,1.0,2.0,2.6,-28.0,2020,4,13,11,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,349.0,7.3,1017.9,-2.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-13.8,26.4,0.0,4.6,,9999.0,1.0,2.0,-1.1,-20.0,2020,4,13,14,9999.0
52787.0,102.87,37.2,3045.1,11.0,9.0,125.0,6.6,1019.0,-4.0,0.0,0.0,9999.0,9999.0,9999.0,2500.0,-8.5,29.3,0.0,2.8,,9999.0,1.0,2.0,-3.6,-14.0,2020,4,13,17,9999.0
52787.0,102.8681,37.1986,3045.1,11.0,9999.0,168.0,1.7,1018.9,3.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-8.0,30.0,0.0,0.7,,9999.0,1.0,2.0,-0.5,-21.0,2020,4,13,20,9999.0
52787.0,102.87,37.2,3045.1,11.0,0.0,342.0,0.6,1017.1,-2.0,9999.0,9999.0,9999.0,9999.0,9999.0,2500.0,-12.9,29.9,0.0,0.1,,9999.0,1.0,2.0,0.4,-30.0,2020,4,13,23,9999.0
